song_id,title,artist,dataset,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7zkLpY72g6lKQbiHDqri1S,Sunrise,Norah Jones,NH,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,audio_features,spotify:track:7zkLpY72g6lKQbiHDqri1S,https://api.spotify.com/v1/tracks/7zkLpY72g6lKQbiHDqri1S,https://api.spotify.com/v1/audio-analysis/7zkLpY72g6lKQbiHDqri1S,200627,4
7yn7rpRvg6XCq10B94etIp,Black Night,Deep Purple,NH,0.497,0.787,9,-11.039,1,0.0734,0.165,0.522,0.17,0.812,134.598,audio_features,spotify:track:7yn7rpRvg6XCq10B94etIp,https://api.spotify.com/v1/tracks/7yn7rpRvg6XCq10B94etIp,https://api.spotify.com/v1/audio-analysis/7yn7rpRvg6XCq10B94etIp,207467,4
7yMiX7n9SBvadzox8T5jzT,Clint Eastwood,Gorillaz,NH,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953,audio_features,spotify:track:7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/tracks/7yMiX7n9SBvadzox8T5jzT,https://api.spotify.com/v1/audio-analysis/7yMiX7n9SBvadzox8T5jzT,340920,4
7x8dCjCr0x6x2lXKujYD34,The Pretender,Foo Fighters,NH,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984,audio_features,spotify:track:7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/tracks/7x8dCjCr0x6x2lXKujYD34,https://api.spotify.com/v1/audio-analysis/7x8dCjCr0x6x2lXKujYD34,269373,4
7vIyudiO2Tr9hZ2yzfwQmx,Waitin' On A Sunny Day,Bruce Springsteen,NH,0.584,0.82,0,-5.228,1,0.0271,0.0116,4.04e-05,0.0991,0.869,106.055,audio_features,spotify:track:7vIyudiO2Tr9hZ2yzfwQmx,https://api.spotify.com/v1/tracks/7vIyudiO2Tr9hZ2yzfwQmx,https://api.spotify.com/v1/audio-analysis/7vIyudiO2Tr9hZ2yzfwQmx,256133,4
4llK75pXNWZz6KAho2Gp16,She Will Be Loved,Maroon 5,NH,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,audio_features,spotify:track:4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/tracks/4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/audio-analysis/4llK75pXNWZz6KAho2Gp16,259453,4
7ouMYWpwJ422jRcDASZB7P,Knights of Cydonia,Muse,NH,0.366,0.963,11,-5.301,0,0.142,0.000273,0.0122,0.115,0.211,137.114,audio_features,spotify:track:7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/tracks/7ouMYWpwJ422jRcDASZB7P,https://api.spotify.com/v1/audio-analysis/7ouMYWpwJ422jRcDASZB7P,366213,4
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers,NH,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,audio_features,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,NH,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
7iBBcw61QVJxI3NDzlpX2E,Love Me Tender,Elvis Presley,NH,0.439,0.0529,9,-16.253,1,0.039,0.881,0.0,0.106,0.314,109.382,audio_features,spotify:track:7iBBcw61QVJxI3NDzlpX2E,https://api.spotify.com/v1/tracks/7iBBcw61QVJxI3NDzlpX2E,https://api.spotify.com/v1/audio-analysis/7iBBcw61QVJxI3NDzlpX2E,162067,3
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes,NH,0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,audio_features,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR,232107,4
6lhp0BCpkIp51wxlv1sSJv,Als Het Golft,De Dijk,NH,0.345,0.689,7,-10.891,0,0.0427,0.471,0.00138,0.702,0.397,101.732,audio_features,spotify:track:6lhp0BCpkIp51wxlv1sSJv,https://api.spotify.com/v1/tracks/6lhp0BCpkIp51wxlv1sSJv,https://api.spotify.com/v1/audio-analysis/6lhp0BCpkIp51wxlv1sSJv,281983,3
2jk1gYF7pWKzJ9JbCKeqNX,I'm going home,Ten Years After,NH,0.329,0.804,7,-8.4,1,0.0596,0.000439,0.0147,0.953,0.278,107.5,audio_features,spotify:track:2jk1gYF7pWKzJ9JbCKeqNX,https://api.spotify.com/v1/tracks/2jk1gYF7pWKzJ9JbCKeqNX,https://api.spotify.com/v1/audio-analysis/2jk1gYF7pWKzJ9JbCKeqNX,734200,4
7e8utCy2JlSB8dRHKi49xM,Fluorescent Adolescent,Arctic Monkeys,NH,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,audio_features,spotify:track:7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/tracks/7e8utCy2JlSB8dRHKi49xM,https://api.spotify.com/v1/audio-analysis/7e8utCy2JlSB8dRHKi49xM,173493,4
4xPkcG6Efkn22baq0kJmQo,Zonder Jou,Paul de Leeuw,NH,0.424,0.421,8,-10.252,1,0.0368,0.844,0.0,0.163,0.249,133.504,audio_features,spotify:track:4xPkcG6Efkn22baq0kJmQo,https://api.spotify.com/v1/tracks/4xPkcG6Efkn22baq0kJmQo,https://api.spotify.com/v1/audio-analysis/4xPkcG6Efkn22baq0kJmQo,237667,4
